name,model,simulator,success_0.5m,success_0.25m,l_mpjpe_mm,vel_err_mm,accel_err_mm
vertical/lunge/fitness_subset_0012_Side_Lunge_Swing_clip_3_chunk_0000,amass,mujoco,0,0,84.62,12.161,3.478
vertical/lunge/fitness_subset_0012_Side_Lunge_Swing_clip_3_chunk_0000,phuma,isaacsim,1,1,33.25,5.075,1.18
vertical/lunge/fitness_subset_0012_Side_Lunge_Swing_clip_3_chunk_0000,phuma,mujoco,1,1,36.72,5.238,1.195
vertical/lunge/fitness_subset_0096_Reverse_Lunge_To_Hammfr_Cri_Iri_clip_44_chunk_0001,amass,isaacsim,1,1,24.08,2.496,0.452
vertical/lunge/fitness_subset_0096_Reverse_Lunge_To_Hammfr_Cri_Iri_clip_44_chunk_0001,amass,mujoco,1,1,23.9,2.486,0.45
vertical/lunge/fitness_subset_0096_Reverse_Lunge_To_Hammfr_Cri_Iri_clip_44_chunk_0001,phuma,isaacsim,1,1,29.93,1.729,0.427
vertical/lunge/fitness_subset_0096_Reverse_Lunge_To_Hammfr_Cri_Iri_clip_44_chunk_0001,phuma,mujoco,1,1,29.44,1.801,0.436
vertical/lunge/fitness_subset_0107_Side_Lunge_Swing_Front_Rackrfach_clip_11_chunk_0000,amass,isaacsim,0,0,54.26,9.595,2.245
vertical/lunge/fitness_subset_0107_Side_Lunge_Swing_Front_Rackrfach_clip_11_chunk_0000,amass,mujoco,0,0,53.99,9.247,2.443
vertical/lunge/fitness_subset_0107_Side_Lunge_Swing_Front_Rackrfach_clip_11_chunk_0000,phuma,isaacsim,1,1,33.85,4.175,0.749
vertical/lunge/fitness_subset_0107_Side_Lunge_Swing_Front_Rackrfach_clip_11_chunk_0000,phuma,mujoco,1,1,34.55,4.322,0.721
vertical/squat/LocoMuJoCo_squat_chunk_0009,amass,isaacsim,1,1,62.92,3.571,0.425
vertical/squat/LocoMuJoCo_squat_chunk_0009,amass,mujoco,1,1,61.64,3.536,0.469
vertical/squat/LocoMuJoCo_squat_chunk_0009,phuma,isaacsim,1,1,40.65,2.473,0.361
vertical/squat/LocoMuJoCo_squat_chunk_0009,phuma,mujoco,1,1,41.29,2.413,0.377
vertical/squat/fitness_subset_0057_Triangle_Plie_Squats_chunk_0001,amass,isaacsim,0,0,63.41,9.375,2.592
vertical/squat/fitness_subset_0057_Triangle_Plie_Squats_chunk_0001,amass,mujoco,0,0,61.3,9.117,2.738
vertical/squat/fitness_subset_0057_Triangle_Plie_Squats_chunk_0001,phuma,isaacsim,1,1,37.63,2.201,0.663
vertical/squat/fitness_subset_0057_Triangle_Plie_Squats_chunk_0001,phuma,mujoco,1,1,30.96,2.122,0.591
vertical/squat/humanml_012482_chunk_0000,amass,isaacsim,1,1,51.8,3.431,0.624
vertical/squat/humanml_012482_chunk_0000,amass,mujoco,1,0,54.73,3.958,0.885
vertical/squat/humanml_012482_chunk_0000,phuma,isaacsim,1,1,42.57,2.286,0.492
vertical/squat/humanml_012482_chunk_0000,phuma,mujoco,1,1,42.92,2.313,0.575
walk/LAFAN1_walk3_subject3_chunk_0029,amass,isaacsim,0,0,49.12,8.603,1.354
walk/LAFAN1_walk3_subject3_chunk_0029,amass,mujoco,0,0,57.4,10.957,2.362
walk/LAFAN1_walk3_subject3_chunk_0029,phuma,isaacsim,1,1,26.38,2.913,0.939
walk/LAFAN1_walk3_subject3_chunk_0029,phuma,mujoco,1,1,27.27,3.172,1.041
walk/LocoMuJoCo_walk_chunk_0184,amass,isaacsim,0,0,39.7,7.391,1.226
walk/LocoMuJoCo_walk_chunk_0184,amass,mujoco,0,0,36.85,8.801,2.075
